f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,label
0.92835818,0.25852946,0.90900622,0.05402420,-1.07902645,0.51347242,0.36142136,0.72675956,-0.99035698,-0.91507440,1.17122855,0.74993340,1.22468547,0.77614596,0.29146592,0.46239821,1.16738377,0.23642026,0.39717397,-1.03056985,-0.07823634,0.64919134,-0.68717191,-0.89323746,-0.55851958,-0.77549812,-0.85526209,-0.22544747,1.22351554,0.02117894,-0.93623886,-1.26908499,0.58846844,-0.35160371,0.96549284,0.47853231,0.88872435,-0.68416188,0.57707677,-0.70781405,1.31720544,0.40912284,-0.52646460,-0.69146441,-0.92722024,0.58392288,-0.84385316,0.28590980,-0.70609492,0.48590683,0.94481919,0.83407573,0.00000000
0.19647513,-0.24595972,0.78255399,-0.93683278,-1.23484516,0.59684649,-0.39495836,-0.20296132,-1.40655272,-0.72127065,-1.39897079,1.13755732,-0.76980995,0.17201151,-1.38306204,0.50054217,-0.53091796,1.19375756,1.16435457,-0.52412814,1.20288269,1.48847302,0.97624699,1.03461404,-0.75297379,0.23010720,-1.29823226,-1.21524619,1.49667784,-0.52008225,0.74455174,0.91999516,1.07406981,1.49288489,-0.77551054,-1.37894752,-0.26642545,-1.10975799,-1.43272233,-0.41871952,0.85121475,0.19854207,-0.56166603,0.46302602,-0.80394546,-1.45685566,0.79306016,0.37122925,0.78690787,-1.38318595,1.01135888,0.35857860,1.00000000
-0.26614151,1.17464969,0.19018605,0.37384214,1.09329974,0.26080952,0.24285114,1.47203747,0.77019050,-0.17311858,0.62219100,-0.33230858,-0.81337361,0.29055563,1.28454629,1.28741856,-0.47428417,0.08303240,-0.86509230,1.48689333,1.44335372,0.44852679,0.91324218,0.64530048,0.27947466,-1.33995601,-0.13570697,0.52435891,0.53259484,-0.38063214,1.32507596,-0.99792890,0.00107834,0.57265193,0.59140742,0.44591687,-0.67413536,-1.03138029,0.40782098,0.29790635,-0.96193197,0.61541744,-0.13448402,0.50328177,1.01210124,-0.99081471,-1.44256540,0.83730776,0.32909228,0.59891871,1.01446492,0.90843280,0.00000000
-0.75578131,0.79341029,1.38276044,0.10780524,-0.03451310,-0.29433840,-1.03892687,0.21782170,-0.66896243,1.26392254,0.24957241,0.27852054,-0.43522602,-1.34403194,-1.40476870,-0.22999457,-1.24630387,0.32054087,1.14291902,1.14874445,0.47713623,-0.86630451,1.08899049,1.15828031,-0.91003925,0.71227826,-0.64044135,0.90792094,1.49171370,-1.40992198,1.19209760,0.36789160,1.42014786,-0.10497145,1.04216379,-1.31281779,-0.49416285,-1.29895039,1.42602940,0.95092172,1.05764226,1.31389569,-1.24468954,-0.34320722,-1.28689533,-0.86762070,-0.81190267,-0.09267837,-0.69431350,-1.19706568,-0.99752673,-1.05817331,0.00000000
-0.56976542,-0.92585502,1.41923039,0.77787752,1.40328440,-0.18077854,-0.66489456,0.89487959,-0.52123825,-0.60184988,-0.80248202,-1.11096307,-0.73061082,-0.43404075,0.52198262,-1.31230547,-0.86847918,0.92707092,-1.05923423,-0.47206456,1.09397677,-1.03522407,-1.25178949,-0.04638601,-0.59274147,0.19022509,0.91141467,-1.08855454,0.24209725,0.01652628,-1.06776364,0.37199546,-0.67907875,-0.03649704,-1.25318303,-0.12124783,-0.58060960,0.96714363,-1.32906382,-0.24417818,-0.12470573,0.67501823,0.22286273,0.50163701,0.83114786,1.08660892,-0.55837351,0.11406812,1.02032424,1.46835339,1.16855793,-0.38559821,0.00000000
0.31859913,1.02857282,-0.91450045,-0.03182239,0.72492436,-0.02229279,-0.05045741,1.01469126,-0.41578866,1.07938402,-0.27958560,-0.51530068,-0.13803027,0.78734088,-1.12199392,-0.91074235,1.35433448,-0.97352512,0.20318195,0.23794340,-0.03112661,0.43423575,-0.81051982,0.15798680,-0.38348023,0.48500178,-1.07632937,0.21263225,-0.94418893,-0.66407081,-0.84387060,-0.95148666,0.97713285,-0.64287730,1.28137135,1.40977958,0.21378141,-1.07099663,-0.37635527,0.89319679,-0.39782781,-1.23894835,0.17035473,1.03536255,0.88777916,-0.97463058,0.51829384,-0.83848721,-0.84537740,1.12221532,-0.75099314,-0.71025796,0.00000000
-0.43338143,0.10933259,-1.49803983,1.11200710,0.87778444,0.38198681,0.75079729,-1.04385430,-0.12502922,-0.44634184,-1.21867042,-0.04160854,1.26221895,-1.37982264,-0.62561726,-0.87737719,-0.78556004,1.22530366,-0.09579284,-0.10110176,0.78172693,-1.03652339,-0.03820394,-0.21004436,0.29073207,1.49867311,0.80834668,-0.30640289,0.98265916,-0.98787491,-1.40860894,-0.88665488,-0.47876533,0.03174227,0.34538742,1.23181715,0.02956203,0.00382693,-1.34927097,-1.39526534,0.15347989,-0.18546416,1.01754118,-1.01796125,-1.42508501,-0.15288370,-0.78756433,-1.35115688,0.67379486,-1.16522100,0.32495850,-0.65685075,1.00000000
0.32247957,-0.32835314,-0.97951185,-0.36074543,0.90433733,-0.32371927,0.75230895,-1.12354111,0.81831426,-0.78920003,0.53217939,0.19734466,1.28743415,-0.33803245,-1.30150443,-1.44253354,0.98057568,0.07420691,0.82573216,-0.79672320,-0.46474876,-1.40968838,1.38447697,0.50360372,1.29961526,-0.70351078,0.33439083,0.53549990,-0.54735090,1.04432771,1.34148439,1.15456535,0.71720093,-0.66760596,-0.65515187,1.39008096,-1.46914651,0.64814992,0.61873849,0.36806862,1.47032654,-0.56436169,-0.48008441,-1.26318179,-0.17160559,-0.71685442,-0.46983989,1.00371537,1.30645354,-0.94280078,-0.38247321,1.28589169,1.00000000
0.28122305,0.48913382,-1.31457462,-1.22291842,-1.01162703,0.28563850,-1.04858319,1.40422914,-0.15985642,0.00455388,-0.76002415,-0.08711924,0.48574090,0.75353141,0.76160425,0.23367334,1.21307932,0.95222354,0.77114434,-1.33318343,-1.47936611,-0.86265817,0.49057078,-0.26640753,-0.29278122,1.15376066,1.18668854,1.22752579,-0.55836577,0.57316744,-0.68510046,-0.92817050,-0.94610263,-0.47367714,-0.21012714,0.99284751,-1.14032672,0.70477754,0.09436474,-0.63616397,-0.02154125,-0.60017379,0.28824587,-0.19846823,-1.00678341,-1.15025078,0.14008705,1.20723910,-0.46812694,0.69900032,0.47598406,1.29466474,1.00000000
0.63885753,-0.18560777,0.96294305,0.19981578,0.47109149,1.19515940,-0.30144365,-0.51961588,-1.46756675,0.97965322,0.90294210,-1.18663645,0.23057214,-0.10805491,-1.14387271,1.44170468,-0.85591234,-1.29829746,0.28454214,0.71660003,-1.40266966,0.47615292,0.09687563,-1.19020497,-0.98242837,0.20392289,-0.61092716,1.31494719,0.95622069,1.45070162,-0.72098748,1.40917090,-0.20629839,-0.45744361,-1.34895142,-1.34170423,0.57603377,-0.12621302,-0.82043512,0.34191092,-0.74142565,0.23289526,-0.42237376,0.97065668,0.96208848,-0.06794881,-0.44754267,-0.41232061,0.91714358,-0.51546155,-0.87282188,-1.24593497,1.00000000
-0.69333423,0.67613004,-0.09992064,-0.05360370,1.02272613,-0.83628391,-0.35702618,0.92521722,0.97087083,-0.34616677,-0.12262793,-0.59014233,1.29766464,-1.14406870,1.30124827,0.55159936,0.09471646,-1.40202282,-0.07321142,-0.27675568,-1.01634356,0.46922881,1.41345272,0.18656643,0.64425983,-1.29464864,-0.24699901,-1.15092454,0.33838751,1.31544647,0.48533320,-1.26959086,-0.43600139,0.15199014,-0.29037673,1.00093203,0.94401301,0.33549306,-0.37962616,-0.73399088,-1.18237705,-0.43530695,-0.26048245,0.52746878,0.47447947,-1.28967558,-0.31422205,-0.95466340,-1.02956188,0.98190645,-1.37425435,-0.24245137,0.00000000
1.00825010,0.50713050,-0.99538903,1.13799065,0.17112154,-0.80585809,0.00728186,0.69445908,1.37435403,-0.83866199,1.15854532,1.30291234,1.24926163,0.40624307,0.38946196,-0.29036810,0.75719365,0.09388206,0.53231421,-0.21462629,0.69448939,0.97341455,-1.06069123,0.99878915,0.12088960,1.03399773,-0.20609488,-0.36287854,1.24518220,-0.74649220,1.03263698,-0.04793828,0.04228633,-0.57459516,0.21912660,-0.52436641,-1.38219176,-0.68400418,-1.48086287,1.43506436,1.39724163,-0.31453411,0.68511256,-0.46258170,0.51327947,0.91629013,1.34026873,-0.29936317,0.84989395,-0.70221465,1.47099691,-1.42269120,0.00000000
0.55505741,0.04140013,0.31058642,0.47851794,0.56413667,-1.13883726,1.31558935,-0.95645016,0.36826021,-0.83197176,-0.57835075,0.13937563,-0.24841974,-1.01932320,-0.98719079,-0.24556564,0.77184893,1.19389394,-1.24761701,-0.32068828,-1.19926331,-1.45022256,0.48515605,0.30734833,-1.01094266,-0.79856150,-1.42887674,1.00484162,1.42407179,-1.09362139,-0.80557436,1.10522857,1.27939139,-0.24111785,-1.34813258,-1.38182450,0.22184960,-0.32131467,-1.41404272,0.24975718,-1.46609239,0.86211587,-0.58070153,-1.37922599,0.26505666,-0.30694676,1.42140124,0.13259599,-0.67428246,0.62831659,-0.68552399,1.21272987,1.00000000
-0.28375510,0.36798128,-0.37583409,0.14960569,-1.34828069,-0.22163629,0.99709062,0.91694642,-0.82704432,-0.82176279,0.95191594,1.29119526,-1.21391724,-0.14982408,-0.48763716,1.11206537,-1.24942526,-0.86662217,0.75740501,-1.34611845,-0.02239386,-0.17367890,-0.49679646,-0.31628305,0.08982176,-1.01589792,0.21598763,0.91629699,0.78048279,-1.03830029,-1.05225159,-0.69547690,-0.41677582,-0.27463326,0.53909165,-1.32995870,-1.39598189,-0.32426831,0.59149108,-0.91969397,0.42451344,-0.72051559,1.15825833,1.18706983,-0.60813839,-0.81001874,-0.26608808,-0.77840524,0.51715153,0.97819405,0.51927639,0.97305134,1.00000000
1.04462893,0.11362423,-0.30902351,-1.03104909,0.71385284,-0.41857648,0.51381248,-0.68806817,-1.25631110,1.47774539,-1.03139548,1.46526298,1.43183980,0.88145431,0.47826889,0.23342115,1.09830464,-0.63168144,-0.09695636,0.35816991,-0.26642857,-0.21754064,-0.50914600,0.19269545,1.05172358,-0.89541487,1.30329912,0.56726296,0.96981964,0.16857208,0.83855010,-1.45139881,0.95514127,-1.37958342,1.16974013,1.47588824,-0.61779761,-0.86904433,0.79609009,-0.74092098,1.09668715,-1.19147222,-1.12213441,1.43745467,0.52151669,1.04066167,-0.52701187,0.52945125,0.28272548,0.30945036,0.54759738,0.22607752,0.00000000
0.54620003,0.04339724,-0.21281289,-0.67223192,0.80574399,-0.82118271,0.57706292,-0.80000153,0.37599051,0.74123480,-0.84385833,-1.32017010,-1.10707877,0.31799090,1.04833922,-1.36500954,0.70245378,-0.47604406,-0.06441489,1.28657865,-0.50408549,-0.10398920,-1.45895276,-1.25520384,-0.72422523,-1.41644328,0.39412598,-0.22080493,0.14443561,-0.97605844,-0.61220391,0.49147342,1.39590817,-1.34874968,1.17115296,0.23064360,0.19175870,0.00083561,-1.29181774,-1.23036944,0.30273602,-0.47712429,1.25180420,-0.28022839,-1.07015562,0.64415650,-0.61993974,0.07641092,0.59349836,1.20079233,0.87657358,0.52908320,1.00000000
-0.97172454,-0.51258771,0.53889955,1.33777393,-0.61252771,-1.49666372,-0.68413632,-0.84632586,0.48550376,0.40113480,0.28038415,-1.45126967,0.68633416,-0.52940876,0.49516797,0.16973529,-0.47180722,-1.09627120,-1.21674331,0.99455500,1.25519263,0.44936414,-1.18969766,-0.29391835,0.68681760,0.83946265,-1.14534413,-1.49990784,0.63641114,-0.43021147,-0.73655601,-1.46130759,0.12089822,1.05345221,1.37289494,0.19723485,0.04338398,-1.24483084,0.14661840,-0.36006276,0.32140584,-0.33382096,-0.77910263,-1.21510417,-0.55524467,-1.21006550,-0.96930915,1.46200848,-0.16768933,0.09561530,1.12085559,1.48670670,0.00000000
0.29904963,0.22681516,0.24814335,0.93742146,-0.51917693,-0.58276813,-0.29188884,0.51752179,0.54657507,-0.55428170,-1.10037023,0.39718877,-1.11502241,0.23547752,0.58026638,0.60183449,0.76041633,1.11857826,-0.00012302,0.69074757,0.35751821,-0.94008018,-1.42293107,-0.64637584,-0.17089888,0.35131783,1.04987799,-0.91126285,-1.12335063,1.39043984,-1.17586632,-0.06452679,0.25669119,0.12412326,-1.24190353,-1.32891926,-1.18354972,0.25676305,0.13303466,-0.79877762,0.41332243,0.96020251,-1.37526312,-0.00561017,0.56793124,-0.74306422,-0.57668728,0.34091371,1.19380588,0.92977326,0.24939066,0.69066515,1.00000000
-0.17303232,0.42188570,-0.40553259,0.42289658,-0.10145523,-0.93019159,0.60521482,0.16939391,-0.42413525,1.23401757,-1.43719765,-0.55268055,-1.32935581,0.79958195,0.60632236,-0.50594334,0.52698871,-0.31218832,0.76876137,-0.13744901,-0.26316082,1.30418975,-0.74736270,-1.13865798,0.25362934,1.40796544,-0.36648236,-1.31388971,-0.48208420,0.01779496,-1.01423098,0.47430665,1.49324817,-0.14478157,-0.43581433,-0.29788750,-1.15456146,1.14982080,-0.25552303,-0.33817677,0.47907082,-0.17389974,0.44470041,-1.31566113,0.94117003,1.32151186,0.44629616,1.36369779,-1.04570306,-0.06775143,0.30542020,0.24520994,1.00000000
-0.86909357,-0.25445567,-0.29561466,-0.48574677,-1.11952793,-0.32477265,-1.01201755,0.70309703,-0.87350719,-1.32430408,0.15709841,0.28568920,1.11573918,0.23094484,-0.46355744,0.90903564,0.12083668,-1.26215915,0.19755168,1.22405564,-0.31106212,-0.61102259,-1.06959163,-1.04566343,-0.20168555,0.28703947,-1.25815378,1.31870577,0.76540085,0.25987175,0.98531601,-1.25943973,-0.06948337,0.39027938,0.98595872,0.85040868,-0.66879225,1.32264051,-1.12696248,1.12540086,1.41282075,-0.96853943,0.66619819,-1.37914344,-0.28373152,0.04884990,0.24193568,1.30781174,0.51675206,-0.05616615,0.92902511,1.35159846,0.00000000
0.64933644,-0.17633727,-1.43380155,1.44756382,-1.24160358,0.94316034,-0.65899574,-1.10346103,-0.18043308,0.43186974,-0.35714446,-1.33630378,0.29838342,1.20720983,-0.35035390,-0.85100167,-0.17226796,-1.35491187,0.96146275,0.97902243,0.26400139,-0.44069133,0.89935009,0.16406107,0.97779693,0.39437638,0.85321642,0.29568898,-0.25757680,1.37383758,0.12334147,0.31526856,-0.83853708,0.37695237,0.21482295,-0.94548481,-1.32123871,0.31307796,0.79107681,0.07020411,-0.81968212,0.49956593,-1.25968282,-0.17449889,-1.00989972,-0.94662285,-0.89311815,-0.33987883,-1.34654938,-0.30661968,0.03512234,-0.05011715,1.00000000
0.85209368,-0.30060837,-0.35164770,1.01743982,-1.06401992,0.01709023,-1.31387575,-1.28653296,0.22159755,0.19805527,1.13410054,0.17362103,1.37937306,-1.35391545,-1.20597695,-1.36780242,-0.94416945,0.12381033,0.43671654,-1.36324453,1.33791267,1.02649613,-0.61016255,-1.26843741,-0.99033878,-1.11916676,-1.13014866,0.05568507,-0.76245767,-0.42558085,1.46851600,0.55294275,1.34694200,-1.07233033,-0.35358158,0.16419541,-1.26972581,-1.48743767,0.51130300,0.42545855,-0.26763357,-0.03106777,-0.25367100,-1.42798487,-0.49388518,-0.96875323,-1.20472743,1.37016130,0.29807918,0.68596885,-0.55390877,-0.32055861,0.00000000
0.02575905,0.46643187,-0.78922802,-1.20910299,-0.96290509,0.89254214,0.53263742,0.14078663,-0.07473038,1.26730285,-1.28179516,-0.65819756,-0.45018644,0.84727744,1.47754386,-0.77798846,1.12292200,0.99186828,-0.82602781,-0.30200226,-0.27098139,1.43466201,-0.95732430,0.89747391,-0.49742186,0.69261104,-0.23996699,0.23507929,0.99783532,0.91249669,1.09926955,-1.32114802,0.57615166,-1.08003787,-0.25254430,0.14576525,-0.29178155,0.05883503,1.48957893,-1.09434806,0.52636814,-0.31199710,-1.10097060,-1.02378971,1.34781932,1.13880449,1.22112588,1.47459833,-0.87505383,-0.43368199,0.50765709,-0.04859238,1.00000000
-0.16519969,0.95752759,-0.24483140,-0.42656625,0.28134190,0.22678029,-1.01562650,-0.08478049,0.16041533,0.21086082,-0.86967842,0.72681418,-1.42440272,-0.43550443,0.84063795,0.19167876,-0.71651270,0.58485936,0.20217283,0.88873083,0.70507556,0.33032377,-0.03546697,-1.10045362,-0.71600095,-0.24270158,0.29789786,0.04112357,-0.63544642,-1.48060693,-0.01128233,-0.64312203,0.70382490,-1.42816120,0.25448343,1.32442271,-0.97677220,-0.08505153,-1.22573402,0.37704574,0.15159504,-0.27790343,0.06413106,1.18972398,-0.91111709,-1.43230646,1.08499465,0.23135125,1.17197537,0.29083567,0.93048327,-0.21097991,0.00000000
0.25890553,0.37157596,0.74957979,1.23912440,0.21636889,-0.95764455,-0.69360715,-0.90406627,-0.75942892,-0.58075365,0.16540136,0.26397489,-0.22050076,0.34626234,-1.25527522,-1.23663529,-0.98451162,0.05423249,-0.85801596,-0.65014679,-0.29906149,0.93559837,-1.45841359,0.44813646,0.50662959,0.89596734,1.29825882,-1.43958645,-1.03864888,1.15851388,-0.12444431,0.19377192,0.48908161,0.53719981,1.29522121,1.49084825,0.66047238,-0.63833637,1.13925721,-1.35233726,-0.80675744,1.19215715,-0.73142546,-0.83804682,-1.08562412,1.07733527,0.00017478,0.52467961,-0.78280085,0.77412126,0.78001663,-0.56220593,1.00000000
-0.87123228,-0.43229368,-0.26795210,-0.87092917,1.42968307,0.43680773,1.30363164,-0.58984337,0.84567274,0.79757593,0.57496696,1.39691693,-0.31933399,-1.10784803,0.51512658,0.68792940,0.22518172,-0.87954632,0.01336783,-0.56343079,-0.21760042,0.43565573,0.73564423,-0.80332593,-0.28402392,-0.69251529,-0.90410516,0.85016166,1.22775808,-0.38930344,0.75383677,1.19098587,1.03837263,-0.95155983,1.36887564,-0.36997068,-0.48227802,-1.31270602,-0.04147904,-1.17295915,-0.75438054,-0.54917213,0.92647897,1.12646595,-0.59260105,1.07609436,1.07169281,0.79395285,-1.05991466,0.57096854,1.33507219,0.54762144,0.00000000
-0.74992407,-0.58459478,-0.50514945,0.00173795,0.43717513,0.03171123,-1.14014117,-0.56380787,0.90718809,1.08425414,-1.08809990,1.35716026,-0.51353215,0.48694122,0.75547544,0.93583870,1.33724911,-0.56124136,1.07551936,-1.10493929,0.61512272,0.72593319,0.53316972,-0.74305579,1.11912944,-0.99342461,-1.33909563,0.65239497,-0.07357285,1.04729406,-0.34980858,-0.99516423,1.00932658,0.14672889,-0.93241262,0.66115200,0.03334092,0.31293895,-0.11730499,0.98612695,0.98868815,0.62816647,-1.18379587,1.01656159,0.51303894,0.59107250,-0.41105148,1.13783867,0.67611480,-1.16222860,-0.27666590,1.15914109,0.00000000
0.03673709,-0.43149554,-1.35840989,1.38424986,0.53748770,0.39412793,-0.68832223,-0.75362463,1.32617466,-0.60518264,0.82651589,-0.32063461,-1.08223779,-1.46785411,0.13277201,1.42733646,-0.39259142,-0.42842300,-0.46772515,0.06163151,-0.17800535,1.13974388,0.01656238,0.02327351,-1.08488522,1.44821862,-0.75008133,-1.27990780,0.48943875,0.28609911,-0.25456304,-0.23342330,0.85519176,-0.91286208,0.96075996,0.44624134,-0.24309068,-0.12591415,-0.73005838,0.75634300,0.03862423,-0.53743637,0.28815035,1.48720336,-0.19421316,1.26207420,-0.46494948,-1.33580188,-0.88727368,-0.24391457,-0.84109521,-1.49931889,1.00000000
0.21191361,-1.02335551,1.24500461,1.03163823,0.72687669,-0.99655621,-1.13890927,-1.29718575,0.67208757,1.28642388,-0.20839254,-1.14257798,0.03717846,-0.45350428,-0.37552523,0.36399187,0.65615434,-1.16818920,-1.39322931,1.48299091,-0.80181495,-1.33850843,-0.93037401,-1.38312646,-0.32456732,0.90720535,-0.47626665,-0.16744978,0.52676032,0.02668221,1.08433706,1.09810703,-1.47026791,0.83413892,-0.11779920,1.46652162,-0.05030377,1.46068784,0.76370808,-0.75418535,0.11518494,1.47640692,1.07259182,-1.20789932,0.61911599,-0.46326124,-1.47905321,-0.28955709,-0.79573673,0.95660781,-0.48800817,0.98257108,0.00000000
